A00; Cólera
8A81.0;Dor De Cabeça Do Tipo Tensão Episódica Infrequente
8A81.1;Dor De Cabeça Do Tipo De Tensão Episódica Frequente
8A81.2;Dor De Cabeça Do Tipo De Tensão Crônica
8A81.Y;Outra Dor De Cabeça Especificada Do Tipo De Tensão
8A81.Z;Dor De Cabeça Do Tipo De Tensão, Não Especificado
8A82;Cefalalgias Autonômicas Trigeminais
8A83;Outro Transtorno De Dor De Cabeça Primária
8A84;Dor De Cabeça Secundária
8A84.0;Dor De Cabeça Aguda Associada À Lesão Traumática Na Cabeça
8A84.1;Dor De Cabeça Persistente Associada À Lesão Traumática À Cabeça
8A84.Y;Outra Dor De Cabeça Secundária Especificada
8A84.Z;Dor De Cabeça Secundária, Não Especificada
8A85;Neuropatias Dolorosas Cranianas Ou Outras Dores Faciais
8A8Y;Outros Distúrbios De Cefaleia Especificados
8A8Z;Distúrbios Da Dor De Cabeça, Não Especificados
1-8B0;Doenças Cerebrovasculares
2-8B0;Hemorragia Intracraniana
8B00;Hemorragia Intracerebral
8B00.0;Hemorragia Hemisférica Profunda
8B00.1;Lobar Heemorragia
8B00.2;Hemorragia Do Tronco Brain
8B00.3;Hemorragia Cerebelar
8B00.4;Hemorragia Intraventricular Sem Hemorragia Parenquimatimática
8B00.5;Haemorragia De Vários Sites
8B00.Z;Hemorragia Intracerebral, Site Não Especificado
8B01;Hemorragia Subaracnóide
8B01.0;Aneurismal Hemorragia Subaracnóide
8B01.1;Hemorragia Subaracnóide Não Aneurismal
8B01.2;Hemorragia Subaracnóide Não Conhecida Se Aneurismal Ou Não Aneurismal
8B02;Hemorragia Subdural Não Traumática
8B03;Hemorragia Epidural Não Traumática
8B0Z;Hemorragia Intracraniana, Não Especificada
2-8B1;Ischaemia Cerebral
8B10;Ataque Isquêmico Transitório
8B10.0;Amaurosis Fugax
8B10.Y;Outros Ataques Isquêmicos Transitórios Especificados
8B10.Z;Ataque Isquêmico Transitório, Não Especificado
8B11;Acidente Vascular Cerebral Isquêmico Cerebral
8B11.0;Acidente Vascular Cerebral Isquêmico Cerebral Devido A Aterosclerose Extracraniana Grande Artéria
8B11.1;Cerco Isquêmico Cerebral Devido À Aterosclerose Intraartéria Intracraniana
8B11.2;Curso Isquêmico Cerebral Devido À Oclusão Embólica
8B11.20;Curso Isquêmico Cerebral Devido À Embolia Cardíaca
8B11.21;Curso Isquêmico Cerebral Devido À Embolia De Arco Aórtico
8B11.22;Curso Isquêmico Cerebral Devido À Embolia Paradoxal
8B11.2Y;Curso Isquêmico Cerebral Devido A Outra Oclusão Embólica Especificada
8B11.2Z;Curso Isquêmico Cerebral Devido À Oclusão Embólica, Não Especificada
8B11.3;Curso Isquêmico Cerebral Devido À Pequena Oclusão Da Artéria
8B11.4;Curso Isquêmico Cerebral Devido A Outra Causa Conhecida
8B11.40;Curso Isquêmico Cerebral Devido À Hipoperfusão Global Com Infarto Da Bacia Hidrográfica
8B11.41;Acidente Vascular Cerebral Isquêmico Cerebral Devido A Outra Arteriopatia Não Aterosclerótica
8B11.42;Curso Isquêmico Cerebral Devido Ao Estado Hipercoagulável
8B11.43;Avc Isquêmico Cerebral Em Associação Com Hemorragia Subaracnóide
8B11.44;Curso Isquêmico Cerebral Da Dissecação
8B11.5;Curso Isquêmico Cerebral De Causa Desconhecida
8B11.50;Curso Isquêmico Cerebral Devido A Oclusão Não Especificada Ou Estenose Da Grande Artéria Extracraniana
8B11.51;Curso Isquêmico Cerebral Devido A Oclusão Não Especificada Ou Estenose Da Artéria Grande Intracraniana
8B11.5Z;Acidente Vascular Cerebral Isquêmico Cerebral, Não Especificado
8B1Y;Outra Ischaemia Cerebral Especificada
8B1Z;Isquemia Cerebral, Não Especificada
8B20;Avc Não Conhecido Se Isquêmico Ou Hemorrágico
8B21;Doença Cerebrovascular Sem Sintoma Cerebral Agudo
8B21.0;Infarto Cerebral Silencioso
8B21.1;Microbleed Cerebral Silencioso
8B21.Y;Outras Doenças Cerebrovasculares Especificadas Sem Sintoma Cerebral Agudo
8B21.Z;Doença Cerebrovascular Sem Sintoma Cerebral Agudo, Não Especificado
8B22;Certas Doenças Cerebrovasculares Especificadas
8B22.0;Dissecção De Artérias Cerebrais
8B22.1;Trombose Venosa Cerebral
8B22.2;Síndromes De Vasoconstrição Cerebral
8B22.3;Angiopatia Amilóide Cerebral Isolada
8B22.4;Malformação Vascular Intracraniana
8B22.40;Malformação Arteriovenosa De Vasos Cerebrais
8B22.41;Malformação Cavernosa Cerebral
8B22.42;Fístula Arteriovenosa Dural
8B22.43;Fístula Cavernosa Carótida
8B22.4Y;Outras Malformações Vasculares Intracraniais Especificadas
8B22.4Z;Malformação Vascular Intracraniana, Não Especificada
8B22.5;Aneurisma Cerebral, Impedido
8B22.6;Aneurisma Saccular Cerebral Familial
8B22.7;Arterite Cerebral, Não Classificado Em Outro Lugar
8B22.70;Arterite Cerebral Primária
8B22.7Y;Outras Arterite Cerebral Especificadas, Não Classificadas Em Outro Lugar
8B22.7Z;Arterite Cerebral, Não Classificada Por Outro Lado, Não Especificada
8B22.8;Encefalopatia Hipertensiva
8B22.9;Avc Induzido Pela Enxaqueca
8B22.A;Síndrome Do Roubo Subclávia
8B22.B;Síndrome De Moyamoya
8B22.C;Doenças Cerebrovasculares Hereditárias
8B22.C0;Cadasil  [Arteriopatia Dominante Autossômica Cerebral Com Infartas Subcorticais E Síndrome De Leucoencefalopatia]
8B22.C1;Carasil  [Arteriopatia Recessiva Autossômica Cerebral Com Infartos Subcorticais E Síndrome De Leucoencefalopatia]
8B22.CY;Outras Doenças Cerebrovasculares Hereditárias Especificadas
8B22.CZ;Doenças Cerebrovasculares Hereditárias, Não Especificadas
8B22.Y;Outras Doenças Cerebrovasculares Especificadas
8B23;Anormalidades Cerebrovasculares
8B24;Encefalopatia Isquêmica Hipóxica
8B25;Efeitos Tardios Da Doença Cerebrovascular
8B25.0;Efeitos Tardios Do Acidente Vascular Cerebral Isquêmico Cerebral
8B25.1;Efeitos Tardios Da Hemorragia Intracerebral
8B25.2;Efeitos Tardios Da Hemorragia Subaracnóide
8B25.3;Efeitos Tardios De Outra Hemorragia Intracraniana Não Traumática
8B25.4;Efeitos Tardios Do Curso Não Conhecido Se Isquêmico Ou Hemorrágico
8B25.Y;Efeitos Tardios De Outra Doença Cerebrovascular Especificada
8B25.Z;Efeitos Tardios Da Doença Cerebrovascular, Não Especificados
8B26;Síndromes Vasculares Do Cérebro Em Doenças Cerebrovasculares
8B26.0;Síndrome Do Tronco Do Tronco
8B26.1;Síndrome De Correto Cerebellar
8B26.2;Síndrome Da Artéria Cerebral Média
8B26.3;Síndrome Anterior Da Artéria Cerebral
8B26.4;Síndrome Da Artéria Cerebral Posterior
8B26.5;Síndromes Lacunares
8B26.50;Síndrome Lacunar Do Motor Puro
8B26.51;Síndrome Lacunar Sensorial Pura
8B26.5Y;Outras Síndromes De Lacunar Especificadas
8B26.5Z;Síndromes Lacunares, Não Especificadas
8B26.Y;Outras Síndromes Vasculares Especificadas Do Cérebro Em Doenças Cerebrovasculares
8B26.Z;Síndromes Vasculares Do Cérebro Em Doenças Cerebrovasculares, Não Especificadas
8B2Z;Doenças Cerebrovasculares, Não Especificadas
1-8B4;Distúrbios Da Medula Espinhal Excluindo Trauma
8B40;Síndrome De Cauda Equina
8B41;Myelitis
8B42;Myelopathy.
8B43;Mielopatias Vasculares Não Compressivas
8B43.0;Infarto Arterial Agudo Da Medula Espinhal
8B43.1;Infarto Venoso Agudo Da Medula Espinhal
8B43.2;Infarto Venoso Crônico Da Medula Espinhal
8B43.Y;Outros Mielopatias Vasculares Não Compressivas Especificadas
8B43.Z;Mielopatias Vasculares Não Compressivas, Não Especificadas
8B44;Distúrbios Mielopáticos Degenerativos
8B44.0;Paraplegia Espástica Hereditária
8B44.00;Paraplegia Espástica Hereditária Dominante Autossômica
8B44.01;Paraplegia Espástica Hereditária Recessiva Autossômica
8B44.02;Paraplegia Espástica Hereditária Vinculada Por X
8B44.0Y;Outros Paraplegia Espástica Hereditária Especificada
8B44.0Z;Paraplegia Espástica Hereditária, Não Especificada
8B44.Y;Outros Distúrbios Mielopáticos Degenerativos Especificados
8B44.Z;Distúrbios Mielopáticos Degenerativos, Não Especificados
8B4Y;Outros Distúrbios Da Medula Espinhal Especificado Excluindo Trauma
8B4Z;Distúrbios Da Medula Espinhal Excluindo Trauma, Não Especificados
1-8B6;Doenças Do Neurônio Motor Ou Distúrbios Relacionados
8B60;Doença Do Neurônio Motor
8B60.0;Esclerose Lateral Amiotrófica
8B60.1;Paralisia Progressiva Da Bulbar
8B60.2;Palsia Pseudobulbar Progressiva
8B60.3;Atrofia Muscular Progressiva
8B60.4;Esclerose Lateral Primária
8B60.5;Esclerose Lateral Amiotrófica  Mais
8B60.6;Monomélico Amiotrófia
8B60.7;Madras Tipo Motor Neuron Doença
8B60.Y;Outra Doença Do Neurônio Do Motor Especificado
8B60.Z;Doença Do Neurônio Motor, Não Especificada
8B61;Atrofia Muscular Espinhal
8B61.0;Atrofia Muscular Espinal Infantil, Tipo I
8B61.1;Atrofia Muscular Espinhal Infantil Tardia, Tipo Ii
8B61.2;Formulário Juvenil Spinal Distrofia Muscular, Tipo Iii
8B61.3;Acordo Adulto Atrofia Muscular Espinal, Tipo Iv
8B61.4;Atrofia Muscular Espinhal Localizada
8B61.Y;Outras Atrofia Muscular Espinal Especificadas
8B61.Z;Atrofia Muscular Espinhal, Não Especificada
8B62;Atrofia Muscular Progressiva Póspólio
8B6Y;Outras Doenças Do Neurônio Motor Especificadas Ou Distúrbios Relacionados
8B6Z;Doenças Do Neurônio Motor Ou Distúrbios Relacionados, Não Especificados
1-8B8;Distúrbios Da Raiz Do Nervo, Plexo Ou Nervos Periféricos
2-8B8;Distúrbios De Nervos Cranianos
8B80;Distúrbios Do Nervo Olfativo
8B81;Distúrbios Do Nervo Vestibulococlear
8B81.0;Lesão Do Tronco Cerebral
8B81.Y;Outros Distúrbios Especificados Do Nervo Vestibulococlear
8B81.Z;Distúrbios Do Nervo Vestibulococlear, Não Especificado
8B82;Distúrbios Do Nervo Trigêmeo
8B82.0;Neuralgia Trigeminal
8B82.1;Dor Facial Atípica
8B82.Z;Distúrbios Do Nervo Trigêmeo, Não Especificado
8B83;Distúrbios Do Nervo Acessório Espinhal
8B84;Distúrbios Do Nervo Hipoglossal
8B85;Transtornos De Múltiplos Nervos Craniais
8B86;Distúrbios Do Nervo Vagus
8B87;Distúrbios Do Nervo Glossofaríngeo
8B88;Distúrbios Do Nervo Facial
8B88.0;Paralisia De Bell
8B88.1;Miokímia Facial
8B88.2;Espasmo Hemifacial
8B88.3;Neurite Facial
8B88.Y;Outros Distúrbios Especificados Do Nervo Facial
8B88.Z;Distúrbios Do Nervo Facial, Não Especificados
8B8Y;Outros Distúrbios Especificados De Nervos Cranianos
8B8Z;Transtornos De Nervos Cranianos, Não Especificados
2-8B9;Raiz Nervosa Ou Distúrbios Do Plexo
8B90;Comprimimentos Da Raiz Nervosa E Do Plexo
8B91;Distúrbios Do Plexo Braquial
8B91.0;Amiotrófia Nevralgic Do Ombro
8B91.1;Síndrome De Saída Torácica Devido A Costela Cervical
8B91.Y;Outros Distúrbios Do Plexo Braquial Especificado
8B91.Z;Distúrbios Do Plexo Braquial, Não Especificado
8B92;Transtornos Lumbosacral Do Plexo
8B92.0;Pósradiação Lumbosacral Plexopatia
8B92.1;Plexopatia Lombossacral Vasculítica
8B92.2;Plexopatia Lombossacral Diabética
8B92.3;Radicículo Lombossacropatia
8B92.Y;Outros Distúrbios Do Plexo Lombosacral Especificado
8B92.Z;Transtornos Lumbosacral Do Plexo, Não Especificado
8B93;Radiculopatia
8B93.0;Radiculopatia Devido À Compressão
8B93.1;Radiculopatia Devido A Distúrbios Metabólicos
8B93.2;Radiculopatia Devido A Choque Elétrico Ou Relâmpago
8B93.3;Radiculopatia Devido À Lesão De Radiação
8B93.4;Radiculopatia Devido A Deficiências Nutricionais
8B93.5;Radiculopatia Devido À Toxicidade
8B93.6;Radiculopatia Devido A Distúrbios Do Disco Intervertebral
8B93.7;Radiculopatia Devido A Doença Neoplásica
8B93.8;Radiculopatia Devido À Espondilose
8B93.Y;Outras Radiculopatia Especificadas
8B93.Z;Radiculopatia, Não Especificada
8B94;Radicoplexoneopatia Diabética
8B95;Lesão Do Plexo Braquial Secundária Devido A Certos Distúrbios Especificados
8B9Y;Outros Distúrbios Da Raiz Nervosa Ou Do Plexo Especificado
8B9Z;Distúrbios Da Raiz Nervosa Ou Do Plexo, Não Especificados
2-8C0;Polineuropatia
8C00;Neuropatia Progressiva Idiopática
8C01;Polineuropatia Inflamatória
8C01.0;Polineuropatia Inflamatória Aguda Inflamatória
8C01.1;Neuropatia Pósvacinal
8C01.2;Polineuropatia Desmielinante Inflamatória Subaguadora
8C01.3;Polineuropatia Inflamatória Inflamatória Crônica
8C01.Y;Outras Poliuropatia Inflamatória Especificada
8C01.Z;Polineuropatia Inflamatória, Não Especificada
8C03;Outra Polineuropatia Secundária
8C03.0;Polineuropatia Diabética
8C03.1;Polineuropatia Devido A Doenças Infecciosas
8C03.2;Polineuropatia Em Doença Neoplásica
8C03.3;Polineuropatia Em Deficiência Nutricional
8C03.4;Polineuropatia Em Distúrbios De Tecido Conjuntivo Sistêmico
8C03.Y;Outras Polineuropatia Secundárias Especificadas
8C03.Z;Outra Polineuropatia Secundária, Não Especificada
8C0Y;Outras Polineuropatia Especificadas
8C0Z;Polineuropatia, Não Especificada
2-8C1;Mononeuropatia
8C10;Mononeuropatias Do Membro Superior
8C10.0;Síndrome Do Túnel Carpal
8C10.1;Lesão Do Nervo Ulnar
8C10.2;Lesão De Nervo Radial
8C10.Y;Outras Mononuropatias Especificadas Do Membro Superior
8C10.Z;Mononeuropatias De Membros Superiores, Não Especificados
8C11;Mononeuropatias Do Membro Inferior
8C11.0;Lesão Do Nervo Ciático
8C11.00;Síndrome Do Piriformis Do Nervo Ciático
8C11.0Y;Outras Lesões Especificadas Do Nervo Ciático
8C11.0Z;Lesão Do Nervo Ciático, Não Especificado
8C11.1;Meralgia Paraesthetica
8C11.2;Lesão Do Nervo Femoral
8C11.3;Lesão Do Nervo Peroneal Comum
8C11.4;Lesão Do Nervo Tibial
8C11.5;Síndrome Do Túnel Tarsal
8C11.6;Lesão Do Nervo Plantar
8C11.Y;Outras Mononeuropatias Especificadas Do Membro Inferior
8C11.Z;Mononeuropatias Do Membro Inferior, Não Especificados
8C12;Certas Mononeuropatias Especificadas
8C12.0;Neuropatia Intercostal
8C12.1;Mononurite Multiplex
8C12.2;Lesão Do Nervo Supraescapular
8C12.3;Lesão Do Nervo Axilar
8C12.4;Lesão Do Nervo Torácico Longo
8C12.5;Neuroma Traumático, Não Especificado De Outra Forma
8C12.Y;Mononeuropatia De Outro Nervo Especificado
8C1Y;Mononeuropatia De Outro Site Especificado
8C1Z;Mononeuropatia Do Local Não Especificado
2-8C2;Neuropatia Hereditária
8C20;Neuropatia Motor E Hereditária
8C20.0;Charcotmariedenty Doença 1 Desmiyelining
8C20.1;Charcotmariedoença 2 Axonal
8C20.2;Doença Intermediária Do Charcotmariedente
8C20.Y;Outros Neuropatia Motor Hereditária Especificada E Especificada
8C20.Z;Neuropatia Motor E Sensorial Hereditária, Não Especificada
8C21;Neuropatia Sensorial Ou Autonômica Hereditária
8C21.0;Neuropatia Sensorial E Autonômica Hereditária
8C21.1;Neuropatia Sensorial E Autonômica Hereditária Tipo Iii
8C21.2;Neuropatia Sensorial E Autonômica Hereditária Tipo Iv
8C21.3;Neuropatia Sensorial E Autonômica Hereditária Tipo V
8C21.Y;Outras Neuropatia Sensoriais Ou Autonômicas Hereditárias Especificadas
8C21.Z;Neuropatia Sensorial Ou Autonômica Hereditária, Não Especificada
8C2Y;Outra Neuropatia Hereditária Especificada
8C2Z;Neuropatia Hereditária, Não Especificada
8C4Y;Outros Distúrbios Especificados De Raiz Do Nervo, Plexo Ou Nervos Periféricos
8C4Z;Distúrbios Da Raiz Do Nervo, Plexo Ou Nervos Periféricos, Não Especificados
1-8C6;Doenças Da Junção Neuromuscular Ou Músculo
2-8C6;Miastenia Gravis Ou Certos Distúrbios De Junção Neuromusculares Especificados
8C60;Miastenia Grave
8C60.0;Miasthenia Gravis Induzida Por Drogas
8C60.Y;Outros Gravis Miastenia Especificados
8C60.Z;Miastenia Gravis, Não Especificada
8C61;Síndromes Miastênicas Congênitas
8C62;Síndrome De Lamberteaton
8C6Y;Outras Gravissas Miastenia Especificadas E Distúrbios Neuromusculares Da Junção
8C6Z;Miastenia Não Especificada Gravis Ou Distúrbios Da Junção Neuromuscular
2-8C7;Distúrbios Primários Dos Músculos
8C70;Distrofia Muscular
8C70.0;Distrofia Muscular De Becker
8C70.1;Distrofia Muscular Duchenne
8C70.2;Distrofia Muscular De Emerydreifuss
8C70.3;Distrofia Muscular Facioscapulohumeral
8C70.4;Distrofia Muscular De Cintura Limpa
8C70.40;Dominant Muscular Distrofia Muscular
8C70.41;Distrofia Muscular De Cintura Recessiva
8C70.4Y;Outras Distrofia Muscular De Cintura Especificada
8C70.4Z;Distrofia Muscular De Cintura Limpa, Não Especificada
8C70.5;Distrofia Muscular Escapuloperonea
8C70.6;Distrofia Muscular Congênita
8C70.Y;Outras Distrofia Muscular Especificadas
8C70.Z;Distrofia Muscular, Não Especificada
8C71;Distúrbios Miotônicos
8C71.0;Distrofia Miotônica
8C71.1;Miotonia Condomínquica
8C71.2;Miotonia Congênita
8C71.3;Miotonia Induzida Por Drogas
8C71.4;Neuromiotonia
8C71.5;Pseudomiostonia
8C71.Y;Outros Distúrbios Miotônicos Especificados
8C71.Z;Transtornos Miotônicos, Não Especificados
8C72;Miopatias Congênitas
8C72.0;Miopatia Congênita Com Anormalidades Estruturais
8C72.00;Miopatia Nemalina
8C72.01;Miopatia Centronuclear
8C72.02;Doença Central Central
8C72.0Y;Outros Miopatia Congênita Especificada Com Anormalidades Estruturais
8C72.0Z;Miopatia Congênita Com Anormalidades Estruturais, Não Especificadas
8C72.1;Miopatia Congênita Sem Anormalidades Estruturais
8C72.Y;Outras Miopatias Congênitas Especificadas
8C72.Z;Miopatias Congênitas, Não Especificadas
8C73;Miopatias Mitocondriais
8C73.0;Cardiomiopatia Recessiva Autossômica Ou Oftalmoplegia
8C73.1;Neuropatia, Ataxia E Retinite Pigmentosa
8C73.Y;Outras Miopatias Mitocondriais Especificadas
8C73.Z;Miopatias Mitocondriais, Não Especificadas
8C74;Paralises Periódicos Ou Distúrbios Da Excitabilidade Da Membrana Muscular
8C74.0;Paramyotonia Congênita
8C74.1;Paralisia Periódica
8C74.10;Paralisia Periódica Hipoqualêmica
8C74.11;Paralisia Periódica Hipercalêmica
8C74.1Y;Outras Paralisia Periódicas Especificadas
8C74.1Z;Paralisia Periódica, Não Especificada
8C74.Y;Outros Paralises Periódicos Ou Distúrbios Periódicos Da Excitabilidade Da Membrana Muscular
8C74.Z;Paralises Periódicos Ou Distúrbios Da Excitabilidade Da Membrana Muscular, Não Especificados
8C75;Miopatias Distais
8C76;Miopatia Miofibrilar
8C77;Miopatia Ocular
8C78;Hipertermia Maligna Ou Hiperpirexia
8C7Y;Outros Distúrbios Primários Especificados Dos Músculos
8C7Z;Distúrbios Primários Dos Músculos, Não Especificados
2-8C8;Miopatias Secundárias
8C80;Miopatia Induzida Por Drogas
8C81;Miopatia Autoimune
8C82;Miopatia Em Certa Doença Infecciosa Ou Parasitária Especificada
8C83;Miopatia Em Determinada Doença Endócrina Especificada
8C84;Rabdomiólise Secundária
8C8Y;Outras Miopatias Secundárias Especificadas
8C8Z;Miopatias Secundárias, Não Especificadas
8D0Y;Outras Doenças Especificadas Da Junção Neuromuscular Ou Músculo
8D0Z;Doenças Da Junção Neuromuscular Ou Músculo, Não Especificados
1-8D2;Paralisia Cerebral
8D20;Paralisia Cerebral Espástica
8D20.0;Paralisia Cerebral Unilateral Espástica
8D20.1;Paralisia Cerebral Bilateral Espástica
8D20.10;Paralisia Cerebral Espástica
8D20.11;Paralisia Cerebral Espástica
8D20.1Z;Paralisia Cerebral Bilateral Espástica, Não Especificada
8D20.Y;Outras Paralisia Cerebral Espásticas Especificadas
8D20.Z;Paralisia Cerebral Espástica, Não Especificada
8D21;Paralisia Cerebral Diskinética
8D22;Paralisia Cerebral Ataxiana
8D23;Síndrome Do Horsterseca
8D2Y;Outras Paralisia Cerebral Especificadas
8D2Z;Paralisia Cerebral, Não Especificada
1-8D4;Transtornos Nutricionais Ou Tóxicos Do Sistema Nervoso
8D40;Distúrbios Neurológicos Devido A Deficiência De Nutrientes
8D40.0;Encefalopatia Devido À Deficiência Nutricional
8D40.1;Neuropatia Devido À Deficiência Nutricional
8D40.2;Miopatia Devido À Deficiência Nutricional
8D40.3;Transtorno De Desenvolvimento Intelectual Devido À Deficiência Nutricional
8D40.Y;Outros Distúrbios Neurológicos Especificados Devido À Deficiência De Nutrientes
8D40.Z;Distúrbios Neurológicos Devido A Deficiência De Nutrientes, Não Especificados
8D41;Distúrbios Neurológicos Devido A Um Excesso De Micro Ou Macro Nutrientes
8D41.0;Neuropatia Periférica Devido À Vitamina B6 Hiperalimentação
8D41.1;Miopatia Devido À Hipercalcemia
8D41.2;Pseudotumour Cerebri Relacionado Com Hipervitaminose Um
8D41.Y;Outros Distúrbios Neurológicos Especificados Devido A Um Excesso De Micro Ou Macro Nutrientes
8D41.Z;Distúrbios Neurológicos Devido A Um Excesso De Micro Ou Macro Nutrientes, Não Especificados
8D42;Distúrbios Neurológicos Devido A Excesso De Peso Ou Obesidade Em Adultos Ou Crianças
8D43;Distúrbios Neurológicos Devido À Toxicidade
8D43.0;Encefalopatia Devido À Toxicidade
8D43.00;Encefalopatia Devido A Amônia
8D43.0Y;Outras Encefalopatia Especificadas Devido À Toxicidade
8D43.0Z;Encefalopatia Devido À Toxicidade, Não Especificada
8D43.1;Comprometimento Cognitivo Devido À Toxicidade
8D43.2;Neuropatia Devido À Toxicidade
8D43.20;Polineuropatia Induzida Por Drogas
8D43.21;Pósradiação Polineuropatia
8D43.2Y;Outras Neuropatia Especificadas Devido À Toxicidade
8D43.2Z;Neuropatia Devido À Toxicidade, Não Especificada
8D43.3;Miopatia Devido À Toxicidade
8D43.4;Distúrbios Do Movimento Devido À Toxicidade
8D43.5;Envenenamento De Mandioca
8D43.Y;Outros Distúrbios Neurológicos Especificados Devido À Toxicidade
8D43.Z;Distúrbios Neurológicos Devido À Toxicidade, Não Especificados
8D44;Distúrbios Neurológicos Relacionados A Álcool
8D44.0;Polineuropatia Alcoólica
8D44.1;Miopatia Alcoólica
8D44.Y;Outros Distúrbios Neurológicos Relacionados A Álcool Especificados
8D44.Z;Distúrbios Neurológicos Relacionados A Álcool, Não Especificados
8D4Y;Outros Distúrbios Nutricionais Ou Tóxicos Especificados Do Sistema Nervoso
8D4Z;Distúrbios Nutricionais Ou Tóxicos Do Sistema Nervoso, Não Especificados
1-8D6;Transtornos Da Pressão Ou Fluxo De Fluidos Cerebrospinais
8D60;Aumento Da Pressão Intracraniana
8D60.0;Síndromes De Hérnia Cerebral
8D60.1;Edema Cerebral
8D60.Y;Outros Especificados Aumentam A Pressão Intracraniana
8D60.Z;Aumento Da Pressão Intracraniana, Não Especificada
8D61;Hipotensão Intracraniana
8D61.0;Hipotensão Intracraniana Espontânea
8D61.1;Hipotensão Intracraniana Secundária
8D61.Y;Outra Hipotensão Intracraniana Especificada
8D61.Z;Hipotensão Intracraniana, Não Especificada
8D62;Rinorréia Do Líquido Cerebrospinal
8D63;Líquido Cefalorraquidiano Otorrhoea
8D64;Hidrocefalia
8D64.0;Comunicar Hidrocefalus
8D64.00;Aumento Da Produção De Fluidos Cerebrospinais
8D64.01;Agenesia Congênita De Arachnoid Villi
8D64.02;Pós Hidrocefalia Hemorrágica
8D64.03;Hidrocephalus Póstraumático
8D64.04;Hidrocefalia De Pressão Normal
8D64.0Y;Outros Hidrocefalos De Comunicação Especificados
8D64.0Z;Hidrocefalia Comunicante, Não Especificado
8D64.1;Hidrocefalia Não Comunicante
8D64.10;Hidrocefalia Devido A Malformações Estruturais
8D64.1Y;Outros Hidrocefalos Não Comunicantes Especificados
8D64.1Z;Hidrocefalia Não Comunicante, Não Especificado
8D64.2;Hidrocefalia Exvácuo
8D64.Z;Hidrocefalo, Não Especificado
8D65;Fístula De Líquido Cerebrospinal
8D66;Siringomielia Ou Syringobulbia
8D66.0;Siringomielia Idiopática
8D66.1;Siringomielia Devido A Certa Causa Especificada
8D66.2;Syringobulbia
8D66.Y;Outras Siringomielia Ou Siringobulbia Especificadas
8D66.Z;Siringomielia Ou Siringobulbia, Não Especificados
8D67;Cisto Aracnóide Intracranial
8D68;Cisto Porencefálico
8D6Y;Outros Distúrbios Especificados Da Pressão Ou Fluxo De Fluido Cerebrospinal
8D6Z;Transtornos Da Pressão Ou Fluxo De Fluido Cerebrospinal, Não Especificados
1-8D8;Distúrbios Do Sistema Nervoso Autonômico
8D80;Malformações Congênitas Do Sistema Nervoso Autonômico
8D81;Distúrbios Do Sistema Nervoso Autonômico Herdado
8D82;Distúrbios Autoimunes Envolvendo O Sistema Nervoso Autonômico
8D83;Transtorno Do Sistema Nervoso Autonômico Devido À Infecção
8D84;Falha Do Sistema Nervoso Autonômico Puro
8D85;Transtorno Do Sistema Nervoso Autonômico Devido A Substâncias
8D86;Hiperatividade Do Sistema Nervoso Autonômico
8D87;Transtorno Do Sistema Nervoso Autonômico Devido A Determinado Distúrbio Neurodegenerativo Especificado
8D87.0;Atrofia Do Sistema Múltiplo
8D87.00;Atrofia De Sistema Múltiplo, Tipo Cerebelar
8D87.01;Atrofia Do Sistema Múltiplo, Parkinsonismo
8D87.0Y;Outros Atrofia Do Sistema Múltiplo Especificado
8D87.0Z;Atrofia De Sistema Múltiplo, Não Especificada
8D87.Y;Outro Transtorno De Sistema Nervoso Autonômico Especificado Devido Ao Distúrbio Neurodegenerativo Especificado
8D88;Neuropatias Autonômicas
8D88.0;Neuropatia Autonômica Devido A Canais De Sódio
8D88.1;Neuropatia Autonômica Devido Ao Diabetes Mellitus
8D88.2;Neuropatia Autonômica Mediada Imune
8D88.3;Transtorno Autonômico Devido A Toxinas
8D88.4;Neuropatia Autonômica Em Doenças Endócrinas E Metabólicas
8D88.Y;Outras Neuropatias Autonômicas Especificadas
8D88.Z;Neuropatias Autonômicas, Não Especificadas
8D89;Transtornos De Tolerância Ortostática
8D89.0;Síncope Reflex
8D89.1;Síncope Devido A Falha Autonômica
8D89.2;Síndrome De Taquicardia Ortostática Postural
8D89.3;Falha Barorreflex
8D89.Y;Outros Distúrbios Especificados De Tolerância Ortostática
8D89.Z;Transtornos De Tolerância Ortostática, Não Especificadas
8D8A;Distúrbios Autonômicos Focais Ou Segmentares
8D8A.1;Síndrome De Horner
8D8A.2;Anisocoria Episódica
8D8A.Y;Outros Distúrbios Autonômicos Focais Ou Segmentares Especificados
8D8A.Z;Distúrbios Autonômicos Focais Ou Segmentares, Não Especificados
8D8B;Distúrbios Que Afetam A Neurotransmission Sináptica Autonômica
8D8C;Dysreflexia Autonômica
8D8D;Hipoglicemia Desconhecimento
8D8Y;Outros Distúrbios Especificados Do Sistema Nervoso Autonômico
8D8Z;Distúrbios Do Sistema Nervoso Autonômico, Não Especificado
1-8E0;Doenças Do Primento Humano
8E00;Doença Esporádica De Creutzfeldtjakob
8E01;Doença De Prion Adquirida
8E01.0;Adquirida Iatrogenicamente Creutzfeldtjakob Doença
8E01.1;Kuru
8E01.2;Variante Creutzfeldtjakob Doença
8E01.3;Outras Doenças Adquiridas Da Creutzfeldtjakob
8E02;Doenças Genéticas
8E02.0;Doença Genética Creutzfeldtjakob
